jan.,january
feb.,february
mar.,march
apr.,april
may,may
jun.,june
jul.,july
aug.,august
sep.,september
sept.,september
oct.,october
nov.,november
dec.,december
sun. ,sunday
mon.,monday
tue.,tuesday
wed.,wednesday
thur.,thursday
fri. ,friday
sat.,saturday
sec.,second
min.,minute
hr.,hour
mo.,month
yr.,year
cent.,century
wk.,week
st.,street
tba,to be announced
tbc,to be continued
tcb,trouble came back
tgif,"thanks god, its friday"
thx,thanks
tia,thanks in advance
tia,thanks in advance
tnku,thank you
tnx,thanks
tq,thank you
ttyl,talk to you later
tyt,take your time
tyvm,thank you very much
wb,welcome back
wfm,works for me
wrt,with regard to
wtf,what the fuck
wtg,way to go
wth,what the hell
ymmd,you made my day
yt,youtube
rsvp,please reply
rtfm,read the fucking manual
scnr,"sorry, could not resist"
sflr,"sorry, for late reply"
sm,social media
cyn.,canyon
cys,check your settings
dba,doing business as
dgmw,don't get me wrong
diy,do it yourself
dm,direct message
dob,date of birth
ea.,each
eobd,end of business day
eod,end of day
eof,end of file
eom,end of message
eot,end of thread
eow,end of week
f2f,face to face
faq,frequently asked questions
fka,formerly known as
ftw,for the win
fwd,forward
fwiw,for what it's worth
fyi,for your information
g+,google+
ga,go ahead
hand,have a nice day
hf,have fun
hhok,ha ha only kidding
hth,hope this helps
iac,in any case
icymi,in case you missed it
idk,i don't know
ig,instagram
iirc,if i remember correctly
imho,in my humble opinion
imo,in my opinion
inc.,including
iow,in other words
itt,in this thread
ln.,lane
lol,laughing out loud
mmw,mark my words
n/a,not available
nn2r,no need to reply
nntr,no need to reply
noyb,none of your business
nrn,no reply necessary
omg,oh my god
ot,off topic
otoh,on the other hand
pebkac,problem exists between keyboard and chair
pov,point of view
rd.,road
re:,regarding
res.,response
cu,see you
b4,before
bac,by any chance
bk,because
blvd,boulevard
brb,be right back
btt,back to topic
btw,by the way
b/c,because
asap,as soon as possible
ave.,avenue
2u,to you
4u,for you
aamof,as a matter of fact
ack,acknowledgment
afaik,as far as i know
afair,as far as i remember
aka,also known as
approx.,approximately
